Video_Number,Date_Recorded,Hours_CI_Students,Hours_Reading,Hours_Talking,Hours_Native_Media,Time_Recorded,Length_Minutes,Total_Words,Filler_Words,Unique_Words,Avg_Word_Freq,Med_Word_Freq,Entropy,TTR
58,2024-12-24,0.0,0.0,3.0,4.5,19:47,6.55,606,56,212,2.858490566037736,1.0,6.704131183220064,0.3498349834983498
59,2024-12-28,0.0,0.5,0.25,10.25,21:28,7.35,703,44,239,2.94142259414226,1.0,6.9121655718984725,0.3399715504978663
60,2024-12-29,0.0,0.0,0.25,3.0,22:19,8.38,848,64,266,3.18796992481203,1.0,6.787726961638359,0.3136792452830189
61,2024-12-30,0.0,0.0,0.5,0.0,00:50,9.1,849,62,267,3.1797752808988764,1.0,6.890091766160376,0.3144876325088339
62,2024-12-31,0.0,0.0,0.5,1.0,22:14,8.07,741,70,251,2.952191235059761,1.0,6.856358405729853,0.3387314439946018
63,2025-01-01,0.0,0.0,1.5,1.5,23:46,8.42,644,79,236,2.7288135593220337,1.0,6.7266894923216345,0.3664596273291925
64,2025-01-02,0.0,0.0,0.25,0.25,22:50,9.8,960,100,292,3.287671232876712,1.0,6.833365447163797,0.3041666666666666
65,2025-01-03,0.0,0.0,0.25,0.25,22:14,5.13,486,56,171,2.8421052631578947,1.0,6.346722200629402,0.3518518518518518
66,2025-01-04,0.0,0.5,0.0,0.75,23:12,8.25,789,72,268,2.944029850746269,1.0,6.9082342236481535,0.3396704689480355
67,2025-01-05,0.0,0.0,0.0,2.0,23:03,9.32,816,52,263,3.102661596958175,1.0,6.9104271192938285,0.3223039215686274
68,2025-01-06,0.0,0.25,0.0,1.25,21:35,7.42,694,60,239,2.903765690376569,1.0,6.755755841474899,0.3443804034582132
69,2025-01-07,0.0,0.5,0.0,1.75,22:48,10.05,884,82,271,3.261992619926199,1.0,6.817388993040919,0.3065610859728507
70,2025-01-08,0.0,1.5,0.0,1.25,21:50,8.42,714,58,251,2.8446215139442232,1.0,6.800016241055451,0.3515406162464985
71,2025-01-09,0.75,1.0,0.25,2.5,23:13,16.05,1496,119,402,3.721393034825871,1.0,7.17065539526024,0.2687165775401069
72,2025-01-10,0.0,0.75,0.0,4.75,23:08,10.03,879,85,278,3.161870503597122,1.0,6.849830037884492,0.3162684869169511
73,2025-01-11,0.0,0.75,0.0,3.5,23:15,10.32,1003,69,312,3.21474358974359,1.0,7.00657737218143,0.3110667996011964
74,2025-01-12,0.0,0.0,0.0,4.75,22:36,8.72,825,57,243,3.3950617283950617,1.0,6.731884301121659,0.2945454545454545
75,2025-01-13,0.0,0.75,0.0,4.5,12:50,13.0,1328,88,334,3.976047904191617,1.0,6.92943162877416,0.2515060240963855
76,2025-01-14,0.0,1.0,0.0,4.0,12:13,11.37,1159,95,309,3.750809061488673,1.0,6.928780635601541,0.266609145815358
77,2025-01-15,0.0,0.0,0.0,5.0,09:46,8.67,801,85,267,3.0,1.0,6.882510716407728,0.3333333333333333
78,2025-01-16,0.0,1.0,0.0,3.0,11:05,11.35,1156,69,338,3.4201183431952664,1.0,7.1959331271802265,0.2923875432525951
79,2025-01-17,0.0,0.0,0.0,5.0,15:42,11.38,1266,107,345,3.669565217391305,1.0,6.975756848543885,0.2725118483412322
80,2025-01-18,0.0,0.0,1.5,5.0,16:48,7.38,758,68,243,3.119341563786008,1.0,6.698028645681926,0.3205804749340369
81,2025-01-19,0.0,0.0,0.25,2.25,00:12,9.93,1034,78,305,3.390163934426229,1.0,6.925104510406326,0.2949709864603481
82,2025-01-20,0.0,0.0,0.0,3.0,12:01,8.2,908,68,268,3.388059701492537,1.0,6.877542820315423,0.2951541850220264
83,2025-01-21,0.0,0.0,0.0,4.5,23:26,11.38,1167,112,351,3.324786324786325,1.0,7.06672318576438,0.300771208226221
